Sex,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,70,0.046690948,0.045394242,0.04627679,0.045330723,0.045114889,0.046103322,0.045497707,0.045352927,0.045295817,0.045249221,0.045209683,0.045147784
1,71,0.049424594,0.048244848,0.049085327,0.04828484,0.047939443,0.049040465,0.048135868,0.048036774,0.048014976,0.048007774,0.048012602,0.047999649
1,72,0.052578797,0.051512866,0.052326964,0.051677358,0.051205429,0.052440403,0.051210342,0.051106643,0.051069835,0.05104949,0.051045188,0.051031426
1,73,0.056213406,0.055245403,0.056060505,0.055555312,0.054963549,0.056355454,0.054781571,0.054675615,0.054625594,0.054591261,0.054574263,0.054554486
1,74,0.060297727,0.059417113,0.060253792,0.059889207,0.059179256,0.060746022,0.058810069,0.058706059,0.05864681,0.058600373,0.05857012,0.058540947
1,75,0.064677134,0.063882761,0.064752496,0.064529319,0.063699721,0.065452045,0.063135664,0.063036962,0.062973235,0.062918141,0.062876209,0.062836584
1,76,0.069147575,0.068447549,0.069352788,0.06927784,0.068324136,0.070266214,0.067553491,0.067460598,0.067395985,0.067336343,0.067285746,0.067236588
1,77,0.073577837,0.072986466,0.073922609,0.074007221,0.07292338,0.075054395,0.071932481,0.071845729,0.071782763,0.071723279,0.071669294,0.07161455
1,78,0.077976696,0.077507587,0.078468932,0.078724075,0.077504501,0.079823485,0.076281032,0.076202795,0.07614466,0.076089875,0.076039086,0.075985627
1,79,0.082483058,0.082142823,0.083128142,0.083559834,0.082200745,0.084710188,0.080737349,0.080664913,0.080609974,0.080558385,0.080510563,0.080459894
1,80,0.087809542,0.08756359,0.088588148,0.089166669,0.087671472,0.090380172,0.08599102,0.085919473,0.085863143,0.085810544,0.085761609,0.085710702
1,81,0.094684951,0.094459897,0.095553741,0.096216055,0.094592432,0.097516607,0.092744407,0.092672836,0.092614288,0.092559571,0.092508743,0.092456798
1,82,0.102701362,0.102458687,0.103640909,0.104357206,0.102604151,0.105761683,0.100608619,0.100539982,0.100482323,0.100428195,0.100377918,0.100327543
1,83,0.111358724,0.111096655,0.112373451,0.113147978,0.111257453,0.1146646,0.10910535,0.109044065,0.108991963,0.108942852,0.108897199,0.108852089
1,84,0.120700155,0.120416729,0.121793716,0.122630315,0.120593803,0.124267318,0.118275644,0.118223962,0.118179941,0.11813832,0.118099577,0.118061576
1,85,0.13076974,0.130463169,0.131946025,0.132848035,0.130656348,0.134613262,0.128162175,0.128122291,0.128088816,0.128057193,0.12802785,0.127999162
1,86,0.141612326,0.141280991,0.142875693,0.143846465,0.141489775,0.1457471,0.138808945,0.138784057,0.138764519,0.138746382,0.138729988,0.13871405
1,87,0.153272147,0.152915721,0.154628469,0.155671531,0.153139892,0.15771446,0.150261023,0.15025191,0.150247304,0.150243726,0.150241464,0.150239443
1,88,0.165793774,0.165412128,0.167250191,0.168369181,0.165652762,0.170561377,0.162564193,0.16256238,0.162564504,0.162567407,0.162571279,0.16257522
1,89,0.179223558,0.178814853,0.180785607,0.181984933,0.179074104,0.184333402,0.175764372,0.175737765,0.175714823,0.175692619,0.175671198,0.175649741
1,90,0.216596842,0.21636895,0.218402714,0.219673679,0.217349427,0.222249587,0.215244355,0.21550302,0.215601639,0.215496757,0.215211917,0.214891039
2,0,0.043439357,0.042977766,0.040840579,0.03863661,0.035848641,0.032258706,0.029361852,0.027732317,0.026685353,0.025572635,0.024501679,0.023845708
2,1,0.009229691,0.008897313,0.008662256,0.008211577,0.007710624,0.006739777,0.006027446,0.005311033,0.00494222,0.004709384,0.004544174,0.004349613
2,2,0.006574438,0.006386762,0.006172513,0.005901161,0.005510664,0.004896986,0.00440561,0.003794025,0.003304417,0.003037913,0.00287507,0.002755003
2,3,0.005817479,0.005762616,0.005593365,0.005318606,0.004982438,0.004451775,0.003996726,0.00348675,0.003014157,0.002625862,0.002407798,0.002285763
2,4,0.005013559,0.005055082,0.004989337,0.004778132,0.004426258,0.0040059,0.003576468,0.003122366,0.002736897,0.002377906,0.002059463,0.001882442
2,5,0.004200046,0.00432496,0.004329252,0.00422946,0.003930334,0.003547705,0.003182917,0.002783118,0.002446741,0.002169352,0.001888333,0.001630359
2,6,0.003441715,0.003622454,0.003688668,0.003662775,0.003464817,0.003165757,0.002812229,0.002486985,0.002195185,0.001957628,0.001743552,0.001517628
2,7,0.002762505,0.002989634,0.003098189,0.003135458,0.003010772,0.002823221,0.002529526,0.002224682,0.001996333,0.001798871,0.001620359,0.001449825
2,8,0.002173686,0.002436423,0.00258329,0.00266433,0.002609574,0.002496096,0.002293881,0.002042491,0.001831123,0.001687266,0.001544583,0.001405041
